departing_port,arriving_port,airline,month,year_month,year,sectors_scheduled,sectors_flown,arrivals_on_time,arrivals_delayed,cancellations,cancellations_pct,delay_rate,is_high_delay,avg_max_humidity_dep,avg_max_temp_dep,avg_min_humidity_dep,avg_min_temp_dep,avg_rainfall_on_rainy_days_dep,avg_rainfall_per_day_dep,avg_wind_speed_dep,days_above_35C_dep,days_high_humidity_dep,days_high_wind_dep,days_in_month_dep,extreme_weather_days_dep,heavy_rain_days_dep,max_daily_rainfall_dep,max_temperature_dep,max_wind_speed_dep,min_temperature_dep,rainy_days_dep,temp_range_mean_dep,temp_volatility_dep,wind_speed_std_dep,avg_max_humidity_arr,avg_max_temp_arr,avg_min_humidity_arr,avg_min_temp_arr,avg_rainfall_on_rainy_days_arr,avg_rainfall_per_day_arr,avg_wind_speed_arr,days_above_35C_arr,days_high_humidity_arr,days_high_wind_arr,days_in_month_arr,extreme_weather_days_arr,heavy_rain_days_arr,max_daily_rainfall_arr,max_temperature_arr,max_wind_speed_arr,min_temperature_arr,rainy_days_arr,temp_range_mean_arr,temp_volatility_arr,wind_speed_std_arr
Hobart,Melbourne,Qantas,2023-02-01,2023-02,2023,13.0,13.0,11.0,2.0,0.0,0.0,0.15384615384615385,0,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242
Hobart,Sydney,Qantas,2023-02-01,2023-02,2023,16.0,16.0,13.0,3.0,0.0,0.0,0.1875,0,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146
Melbourne,Hobart,Qantas,2023-02-01,2023-02,2023,13.0,13.0,11.0,2.0,0.0,0.0,0.15384615384615385,0,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378
Melbourne,Sydney,Qantas,2023-02-01,2023-02,2023,807.0,715.0,482.0,233.0,92.0,11.400247831474598,0.3258741258741259,1,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146
Sydney,Hobart,Qantas,2023-02-01,2023-02,2023,16.0,16.0,13.0,3.0,0.0,0.0,0.1875,0,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378
Sydney,Melbourne,Qantas,2023-02-01,2023-02,2023,807.0,716.0,483.0,233.0,91.0,11.27633209417596,0.3254189944134078,1,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242
Hobart,Melbourne,QantasLink,2023-02-01,2023-02,2023,71.0,69.0,53.0,16.0,2.0,2.8169014084507045,0.2318840579710145,0,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242
Hobart,Sydney,QantasLink,2023-02-01,2023-02,2023,63.0,57.0,41.0,16.0,6.0,9.523809523809524,0.2807017543859649,1,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146
Melbourne,Hobart,QantasLink,2023-02-01,2023-02,2023,71.0,70.0,54.0,16.0,1.0,1.4084507042253522,0.22857142857142856,0,87.78571428571429,25.889285714285712,40.607142857142854,13.721428571428572,2.4,0.6,5.4275,2.0,15,2.0,28,7,0.0,7.8,41.3,8.61,8.9,7.0,12.167857142857144,3.9666666666666663,1.6219504148241242,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378
Sydney,Hobart,QantasLink,2023-02-01,2023-02,2023,65.0,59.0,39.0,20.0,6.0,9.230769230769232,0.3389830508474576,1,83.21428571428571,27.82857142857143,49.785714285714285,19.875,13.014285714285716,6.507142857142857,6.082142857142857,0.0,6,2.0,28,5,3.0,65.8,32.5,9.77,16.7,14.0,7.953571428571428,2.67037037037037,1.312984604414146,86.85714285714286,23.182142857142857,42.714285714285715,12.103571428571428,3.283333333333333,1.407142857142857,4.574285714285715,1.0,13,0.0,28,7,1.0,11.4,36.6,6.86,6.9,12.0,11.078571428571427,4.07037037037037,1.0408665498531378
