Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066037,1958,08,90.0,Y
IDCJAC0001,066037,1958,09,26.0,Y
IDCJAC0001,066037,1958,10,49.1,Y
IDCJAC0001,066037,1958,11,6.2,Y
IDCJAC0001,066037,1958,12,82.9,Y
IDCJAC0001,066037,1959,01,116.6,Y
IDCJAC0001,066037,1959,02,171.5,Y
IDCJAC0001,066037,1959,03,136.0,Y
IDCJAC0001,066037,1959,04,50.6,Y
IDCJAC0001,066037,1959,05,52.5,Y
IDCJAC0001,066037,1959,06,111.5,Y
IDCJAC0001,066037,1959,07,157.4,Y
IDCJAC0001,066037,1959,08,70.0,Y
IDCJAC0001,066037,1959,09,61.3,Y
IDCJAC0001,066037,1959,10,271.3,Y
IDCJAC0001,066037,1959,11,107.6,Y
IDCJAC0001,066037,1959,12,51.0,Y
IDCJAC0001,066037,1960,01,85.9,Y
IDCJAC0001,066037,1960,02,82.5,Y
IDCJAC0001,066037,1960,03,61.2,Y
IDCJAC0001,066037,1960,04,26.7,Y
IDCJAC0001,066037,1960,05,84.5,Y
IDCJAC0001,066037,1960,06,73.4,Y
IDCJAC0001,066037,1960,07,73.9,Y
IDCJAC0001,066037,1960,08,59.2,Y
IDCJAC0001,066037,1960,09,58.4,Y
IDCJAC0001,066037,1960,10,226.2,Y
IDCJAC0001,066037,1960,11,62.8,Y
IDCJAC0001,066037,1960,12,196.8,Y
IDCJAC0001,066037,1961,01,67.6,Y
IDCJAC0001,066037,1961,02,70.6,Y
IDCJAC0001,066037,1961,03,55.1,Y
IDCJAC0001,066037,1961,04,112.1,Y
IDCJAC0001,066037,1961,05,26.2,Y
IDCJAC0001,066037,1961,06,53.6,Y
IDCJAC0001,066037,1961,07,51.8,Y
IDCJAC0001,066037,1961,08,180.8,Y
IDCJAC0001,066037,1961,09,49.6,Y
IDCJAC0001,066037,1961,10,43.4,Y
IDCJAC0001,066037,1961,11,396.1,Y
IDCJAC0001,066037,1961,12,98.6,Y
IDCJAC0001,066037,1962,01,118.6,Y
IDCJAC0001,066037,1962,02,128.2,Y
IDCJAC0001,066037,1962,03,49.5,Y
IDCJAC0001,066037,1962,04,81.4,Y
IDCJAC0001,066037,1962,05,226.7,Y
IDCJAC0001,066037,1962,06,2.5,Y
IDCJAC0001,066037,1962,07,70.6,Y
IDCJAC0001,066037,1962,08,129.5,Y
IDCJAC0001,066037,1962,09,89.0,Y
IDCJAC0001,066037,1962,10,30.2,Y
IDCJAC0001,066037,1962,11,11.4,Y
IDCJAC0001,066037,1962,12,176.7,Y
IDCJAC0001,066037,1963,01,132.6,Y
IDCJAC0001,066037,1963,02,59.5,Y
IDCJAC0001,066037,1963,03,338.1,Y
IDCJAC0001,066037,1963,04,217.4,Y
IDCJAC0001,066037,1963,05,192.6,Y
IDCJAC0001,066037,1963,06,277.0,Y
IDCJAC0001,066037,1963,07,54.6,Y
IDCJAC0001,066037,1963,08,272.9,Y
IDCJAC0001,066037,1963,09,25.0,Y
IDCJAC0001,066037,1963,10,53.4,Y
IDCJAC0001,066037,1963,11,42.9,Y
IDCJAC0001,066037,1963,12,359.2,Y
IDCJAC0001,066037,1964,01,24.4,Y
IDCJAC0001,066037,1964,02,28.2,Y
IDCJAC0001,066037,1964,03,125.6,Y
IDCJAC0001,066037,1964,04,144.1,Y
IDCJAC0001,066037,1964,05,54.9,Y
IDCJAC0001,066037,1964,06,317.0,Y
IDCJAC0001,066037,1964,07,8.7,Y
IDCJAC0001,066037,1964,08,22.6,Y
IDCJAC0001,066037,1964,09,19.0,Y
IDCJAC0001,066037,1964,10,77.9,Y
IDCJAC0001,066037,1964,11,61.2,Y
IDCJAC0001,066037,1964,12,48.6,Y
IDCJAC0001,066037,1965,01,26.9,Y
IDCJAC0001,066037,1965,02,14.5,Y
IDCJAC0001,066037,1965,03,6.4,Y
IDCJAC0001,066037,1965,04,92.4,Y
IDCJAC0001,066037,1965,05,52.5,Y
IDCJAC0001,066037,1965,06,207.7,Y
IDCJAC0001,066037,1965,07,95.3,Y
IDCJAC0001,066037,1965,08,20.2,Y
IDCJAC0001,066037,1965,09,88.4,Y
IDCJAC0001,066037,1965,10,143.8,Y
IDCJAC0001,066037,1965,11,30.0,Y
IDCJAC0001,066037,1965,12,69.0,Y
IDCJAC0001,066037,1966,01,27.5,Y
IDCJAC0001,066037,1966,02,111.8,Y
IDCJAC0001,066037,1966,03,172.1,Y
IDCJAC0001,066037,1966,04,178.4,Y
IDCJAC0001,066037,1966,05,57.7,Y
IDCJAC0001,066037,1966,06,102.0,Y
IDCJAC0001,066037,1966,07,17.2,Y
IDCJAC0001,066037,1966,08,80.2,Y
IDCJAC0001,066037,1966,09,62.1,Y
IDCJAC0001,066037,1966,10,38.2,Y
IDCJAC0001,066037,1966,11,153.1,Y
